37.4,0.534,0,-1.21
37.8,0.546,0,-1.21
36.7,0.563,0,-1.21
34.8,0.583,0,-1.21
32.7,0.604,0,-1.21
31.5,0.622,0,-1.21
30.7,0.637,0,-1.21
28.1,0.647,0,-1.21
27.1,0.653,0,-1.21
29.4,0.663,0.015,-1.21
31.9,0.671,0.089,-1.21
33.7,0.676,0.156,-1.21
34.5,0.68,0.201,-1.21
34.2,0.683,0.2,-1.21
34,0.686,0.161,-1.21
34.2,0.689,0.101,-1.21
38,0.694,0.031,-1.21
40.9,0.696,0,-1.21
40.2,0.691,0,-1.21
39.1,0.68,0,-1.21
37.8,0.661,0,-1.21
36.3,0.626,0,-1.21
34.1,0.581,0,-1.21
33,0.533,0,-1.21
34.2,0.492,0,0.17
34.8,0.462,0,0.17
35,0.445,0,0.17
34.4,0.434,0,0.17
33.5,0.427,0,0.17
33.4,0.424,0,0.17
36.3,0.432,0,0.17
38.8,0.452,0,0.17
41.5,0.479,0,0.17
44.8,0.509,0.013,0.17
45.9,0.538,0.064,0.17
46.4,0.567,0.116,0.17
46.3,0.591,0.159,0.17
45.9,0.61,0.168,0.17
45.9,0.626,0.142,0.17
46.4,0.653,0.084,0.17
49.8,0.688,0.026,0.17
51.8,0.726,0,0.17
50.5,0.767,0,0.17
48.3,0.801,0,0.17
46.1,0.822,0,0.17
43.2,0.832,0,0.17
40.2,0.837,0,0.17
38.6,0.842,0,0.17
39.1,0.85,0,0.71
39.2,0.861,0,0.71
39.3,0.871,0,0.71
38.7,0.876,0,0.71
37.4,0.878,0,0.71
37.4,0.877,0,0.71
39.3,0.875,0,0.71
41.5,0.872,0,0.71
44,0.87,0,0.71
46.5,0.868,0.01,0.71
47.1,0.863,0.049,0.71
47.5,0.857,0.092,0.71
47.3,0.848,0.122,0.71
46.9,0.834,0.132,0.71
46.9,0.823,0.109,0.71
47.3,0.817,0.071,0.71
50.2,0.814,0.024,0.71
51.9,0.813,0.001,0.71
50.8,0.814,0,0.71
48.5,0.812,0,0.71
46.2,0.806,0,0.71
43.3,0.789,0,0.71
40.3,0.769,0,0.71
38.5,0.751,0,0.71
39.2,0.731,0,1.32
39.6,0.711,0,1.32
39.4,0.693,0,1.32
39.1,0.676,0,1.32
37.9,0.657,0,1.32
37.7,0.641,0,1.32
39.8,0.636,0,1.32
41.9,0.643,0,1.32
44.6,0.662,0,1.32
47.1,0.684,0.011,1.32
47.8,0.694,0.057,1.32
48,0.691,0.104,1.32
47.6,0.678,0.135,1.32
47,0.663,0.138,1.32
46.7,0.653,0.109,1.32
46.9,0.664,0.061,1.32
50,0.683,0.018,1.32
51.5,0.696,0,1.32
49.8,0.7,0,1.32
47.3,0.698,0,1.32
44.5,0.691,0,1.32
41.6,0.679,0,1.32
38.8,0.658,0,1.32
37.6,0.621,0,1.32
38.3,0.576,0.093,6.19
38.2,0.537,0,6.19
37.8,0.504,0,6.19
36.7,0.481,0,6.19
35.2,0.45,0,6.19
34.3,0.421,0,6.19
34.3,0.403,0,6.19
34.1,0.394,0,6.19
35.6,0.395,0,6.19
38.9,0.396,0.003,6.19
40.3,0.392,0.017,6.19
40.7,0.375,0.036,6.19
40.3,0.344,0.046,6.19
39.6,0.311,0.054,6.19
39.3,0.285,0.047,6.19
39.4,0.273,0.029,6.19
42.1,0.265,0.011,6.19
44.8,0.262,0.001,6.19
43.5,0.262,0,6.19
41.5,0.262,0,6.19
39.1,0.271,0,6.19
36.7,0.28,0,6.19
35.1,0.285,0,6.19
34.7,0.272,0,6.19
35.9,0.241,0.057,5.94
35.7,0.218,0,5.94
35.1,0.203,0,5.94
34,0.197,0,5.94
32.3,0.196,0,5.94
31.2,0.195,0,5.94
31,0.199,0,5.94
29.4,0.205,0,5.94
30,0.213,0,5.94
33.3,0.226,0.006,5.94
36.4,0.24,0.028,5.94
38.5,0.251,0.047,5.94
39.4,0.253,0.063,5.94
38.8,0.248,0.064,5.94
38.6,0.239,0.052,5.94
39,0.228,0.033,5.94
41.9,0.219,0.011,5.94
43.5,0.218,0,5.94
42.8,0.228,0,5.94
41.2,0.243,0,5.94
39.6,0.26,0,5.94
37.4,0.271,0,5.94
34.9,0.278,0,5.94
33.3,0.279,0,5.94
34.8,0.272,0,5.59
35.2,0.259,0,5.59
35,0.249,0,5.59
34.2,0.245,0,5.59
33,0.242,0,5.59
33.2,0.24,0,5.59
36.9,0.237,0,5.59
42.3,0.234,0,5.59
44.9,0.233,0,5.59
46.5,0.232,0.003,5.59
46.9,0.233,0.014,5.59
47.4,0.231,0.026,5.59
47.5,0.223,0.036,5.59
47.2,0.212,0.039,5.59
47.5,0.204,0.035,5.59
47.5,0.2,0.024,5.59
50,0.198,0.009,5.59
50.7,0.206,0.001,5.59
49,0.225,0,5.59
46.6,0.231,0,5.59
44.4,0.232,0,5.59
41.7,0.24,0,5.59
38.3,0.243,0,5.59
36.3,0.244,0,5.59
37.7,0.238,0,4.15
38,0.231,0,4.15
37.7,0.22,0,4.15
36.6,0.197,0,4.15
35.4,0.175,0,4.15
35.3,0.161,0,4.15
39,0.158,0,4.15
43.5,0.162,0,4.15
45.6,0.17,0,4.15
46.6,0.178,0.002,4.15
46.9,0.184,0.009,4.15
47.2,0.182,0.019,4.15
47.4,0.168,0.025,4.15
47.2,0.151,0.026,4.15
47.7,0.14,0.024,4.15
48.1,0.134,0.016,4.15
50.9,0.127,0.007,4.15
51.5,0.124,0,4.15
49.9,0.123,0,4.15
47.7,0.124,0,4.15
45.2,0.123,0,4.15
42.3,0.125,0,4.15
38.9,0.126,0,4.15
37.3,0.127,0,4.15
38.3,0.132,0.018,3.85
38.6,0.138,0,3.85
38.5,0.145,0,3.85
37.7,0.147,0,3.85
36.3,0.137,0,3.85
36.2,0.128,0,3.85
39.5,0.127,0,3.85
44.8,0.135,0,3.85
46.7,0.155,0,3.85
47.2,0.184,0.005,3.85
47.4,0.22,0.03,3.85
47.5,0.249,0.06,3.85
47.3,0.262,0.079,3.85
46.8,0.267,0.093,3.85
47,0.263,0.083,3.85
46.9,0.255,0.046,3.85
50,0.251,0.016,3.85
51.4,0.253,0.001,3.85
49.9,0.262,0,3.85
48,0.277,0,3.85
45.9,0.298,0,3.85
42.9,0.311,0,3.85
39.6,0.318,0,3.85
37.3,0.32,0,3.85
38.4,0.314,0.062,3.88
38.6,0.298,0,3.88
38.5,0.276,0,3.88
37.5,0.259,0,3.88
36.2,0.245,0,3.88
36,0.235,0,3.88
39.3,0.234,0,3.88
44.3,0.239,0,3.88
46.2,0.245,0,3.88
46.8,0.245,0.004,3.88
46.8,0.242,0.028,3.88
47.1,0.236,0.058,3.88
46.9,0.229,0.075,3.88
46.7,0.221,0.077,3.88
46.9,0.217,0.062,3.88
47.1,0.217,0.042,3.88
50,0.22,0.018,3.88
51.2,0.228,0.002,3.88
49.8,0.239,0,3.88
47.8,0.251,0,3.88
45.4,0.259,0,3.88
42.3,0.262,0,3.88
38.9,0.26,0,3.88
37,0.257,0,3.88
38.1,0.251,0.049,4.86
38.6,0.245,0,4.86
38.4,0.241,0,4.86
37.3,0.244,0,4.86
36,0.248,0,4.86
35.9,0.254,0,4.86
39.3,0.265,0,4.86
44.5,0.284,0,4.86
46.4,0.314,0,4.86
47,0.352,0.006,4.86
47.2,0.385,0.034,4.86
47.1,0.405,0.069,4.86
46.7,0.414,0.092,4.86
45.6,0.42,0.108,4.86
45.4,0.429,0.1,4.86
44.6,0.442,0.07,4.86
47.7,0.45,0.029,4.86
49.8,0.458,0.002,4.86
48.5,0.469,0,4.86
46,0.484,0,4.86
42.9,0.499,0,4.86
40.1,0.505,0,4.86
37.6,0.514,0,4.86
36.6,0.531,0,4.86
37.6,0.547,0,7.26
37.5,0.562,0,7.26
36.9,0.579,0,7.26
35.6,0.58,0,7.26
33.8,0.57,0,7.26
32.9,0.562,0,7.26
33.5,0.562,0,7.26
33.5,0.565,0,7.26
35.5,0.573,0,7.26
38.3,0.592,0.009,7.26
39.3,0.62,0.042,7.26
39.3,0.653,0.081,7.26
38.9,0.678,0.104,7.26
38.1,0.695,0.095,7.26
38,0.709,0.073,7.26
38.3,0.72,0.045,7.26
41.5,0.741,0.016,7.26
44.7,0.775,0.001,7.26
43.4,0.816,0,7.26
41.5,0.847,0,7.26
38.6,0.863,0,7.26
36.3,0.87,0,7.26
34.7,0.87,0,7.26
34.4,0.864,0,7.26
35.9,0.85,0,7.47
35.5,0.836,0,7.47
34.7,0.829,0,7.47
33.4,0.832,0,7.47
31.7,0.832,0,7.47
30.6,0.826,0,7.47
30.3,0.818,0,7.47
28.8,0.798,0,7.47
30,0.762,0,7.47
33.5,0.714,0.005,7.47
36.4,0.667,0.02,7.47
38.1,0.629,0.036,7.47
38.9,0.578,0.05,7.47
37.9,0.52,0.054,7.47
37.3,0.477,0.059,7.47
37.7,0.449,0.045,7.47
40.3,0.437,0.022,7.47
42.8,0.437,0.002,7.47
42.2,0.44,0,7.47
40.8,0.444,0,7.47
38.9,0.451,0,7.47
36.6,0.452,0,7.47
34.3,0.451,0,7.47
32.7,0.459,0,7.47
33.9,0.469,0.111,8.98
34.4,0.476,0,8.98
34.3,0.487,0,8.98
33.2,0.505,0,8.98
31.8,0.526,0,8.98
32.1,0.55,0,8.98
36.3,0.58,0,8.98
41.8,0.614,0,8.98
43.6,0.651,0,8.98
44.2,0.7,0.007,8.98
44.4,0.754,0.028,8.98
44.6,0.792,0.052,8.98
44.5,0.81,0.071,8.98
44.3,0.814,0.074,8.98
44.6,0.804,0.062,8.98
45.1,0.788,0.038,8.98
48.7,0.77,0.016,8.98
50.1,0.755,0.001,8.98
48.2,0.743,0,8.98
46,0.728,0,8.98
43.4,0.713,0,8.98
40.6,0.7,0,8.98
37.1,0.683,0,8.98
35.2,0.656,0,8.98
36.1,0.606,0,5.06
